id,name,role,course_count,course_codes,course_ids,terms_taught_total,preparedness_pct,clarity_pct,respect_pct
1,Aalap Doshi,Adjunct Lecturer,,,,,,,
2,Abigail Jacobs,Assistant Professor,,,,,,,
3,Alain Cohn,Associate Professor,1,SI710,108,2,1,1,1
4,Alex McLeod,Lecturer III,3,SI563; SI602; SI617,32;46;53,5,0.91,0.895,0.985
5,Alexander Levin-Koopman,Lecturer I,,,,,,,
6,Alexis Castellanos,Adjunct Lecturer,,,,,,,
7,Alissa Talley-Pixley,Adjunct Lecturer,,,,,,,
8,Amanda Hardy,Lecturer I,,,,,,,
9,Andrea Forte,Professor,,,,,,,
10,Andrew Krumm,Assistant Professor,,,,,,,
11,Angie Zill,Adjunct Lecturer,,,,,,,
12,Anhong Guo,Assistant Professor,,,,,,,
13,Anna Vento,Lecturer I,2,SI504; SI564,3;33,2,,,
14,Anthea Josias,Lecturer IV,3,SI581; SI632; SI633,38;62;63,9,0.95,0.82,1
15,Anthony Giove,Lecturer I,,,,,,,
16,Anthony Whyte,Lecturer IV,1,SI506,5,12,0.92,0.75,0.95
17,Barbara Ericson,Associate Professor,,,,,,,
18,Barry Fishman,Professor,1,SI549,27,4,0.97,0.97,0.96
19,Ben Green,Assistant Professor,,,,,,,
20,Benjamin Mullins,Lecturer I,3,SI579; SI644; SI669,36;67;82,11,0.93,0.86,0.96
21,Bobby Madamanchi,Lecturer IV,3,SI507; SI544; SI691,6;24;96,18,0.73,0.69,0.95
22,Bulgan Jugderkhuu,Lecturer I,,,,,,,
23,Carolyn Frost,Professor Emerita,,,,,,,
24,Ceren Budak,Associate Professor,4,SI608; SI618; SI650; SI995,48;54;72;117,24,0.853,0.817,0.947
25,Charles Friedman,Professor,1,SI648,70,6,0.89,0.75,0.85
26,Charles Severance,Clinical Professor,1,SI664,79,12,0.92,0.92,0.98
27,Chelsea Peterson-Salahuddin,Assistant Professor,1,SI500,1,1,,,
28,Chris Teplovs,Lecturer IV,3,SI506; SI544; SI618,5;24;54,11,0.853,0.793,0.993
29,Christian Sandvig,Professor,2,SI755; SI840,112;114,6,1,0.955,1
30,Christopher Brooks,Associate Professor,2,SI995; SI998,117;118,18,,,
31,Christopher Fariss,Professor,,,,,,,
32,Cliff Lampe,Professor,5,SI529; SI682; SI691; SI697; SI998,15;91;96;97;118,15,,,
33,Coco Krumme,Lecturer II,,,,,,,
34,Colleen van Lent,Lecturer IV,1,SI539,21,5,0.97,0.89,0.97
35,Cory Bilyeu,Lecturer I,,,,,,,
36,Cory Knobel,Intermittent Lecturer,1,SI710,108,3,,,
37,Dallas Card,Assistant Professor,2,SI500; SI649,1;71,7,0.985,0.91,0.985
38,Daniel Atkins III,Professor Emeritus,,,,,,,
39,Daniel Romero,Associate Professor,2,SI705; SI990,106;116,15,,,
40,David Hanauer,Clinical Associate Professor,,,,,,,
41,David Hessler,Professor Emeritus,,,,,,,
42,David Jurgens,Associate Professor,7,SI511; SI561; SI630; SI650; SI670; SI990; SI998,8;31;60;72;83;116;118,37,0.878,0.76,0.875
43,David Wallace,Clinical Associate Professor,5,SI510; SI547; SI580; SI583; SI691,7;25;37;40;96,22,0.982,0.975,0.992
44,Deepti Wilson,Lecturer II,,,,,,,
45,Denise Anthony,Professor,1,SI654,74,1,,,
46,Derek Bruckner,Adjunct Lecturer,,,,,,,
47,Douglas Van Houweling,Professor Emeritus,,,,,,,
48,Edras Rodriguez-Torres,Adjunct Lecturer,,,,,,,
49,Ejike Anusiem,Adjunct Lecturer,,,,,,,
50,Elaine Czarnik,Intermittent Lecturer,1,SI644,67,1,,,
51,Elena Godin,Lecturer IV,3,SI520; SI582; SI616,12;39;52,27,0.94,0.867,0.967
52,Elham Amini,Lecturer I,,,,,,,
53,Elizabeth Yakel,Professor Emerita,1,SI691,96,4,,,
54,Elle O'Brien,Lecturer IV,2,SI544; SI699,24;99,7,0.97,0.985,0.99
55,Elliot Soloway,Professor,,,,,,,
56,Emily Cutlip,Adjunct Lecturer,,,,,,,
57,Emily Schemanske,Lecturer I,,,,,,,
58,Eric Gilbert,Professor,,,,,,,
59,Erik Lang,Lecturer I,,,,,,,
60,Erin Krupka,Professor,4,SI534; SI617; SI705; SI706,17;53;106;107,9,0.94,0.97,1
61,Eytan Adar,Professor,4,SI649; SI697; SI698; SI710,71;97;98;108,15,0.98,0.95,0.955
