id,faculty_id,text,score,date,course,tough_grader,get_ready_to_read,participation_matters,extra_credit,group_projects,amazing_lectures,clear_grading_criteria,gives_good_feedback,inspirational,lots_of_homework,hilarious,beware_of_pop_quizzes,so_many_papers,caring,respected,lecture_heavy,test_heavy,graded_by_few_things,accessible_outside_class,online_savvy
42093194,101,"I found Katie to be extremely passive-aggressive and relatively cocky at times. Sometimes she acts like she knows all the material but cannot answer simple questions about it. For SI110, if you have the option to take a discussion with a different instructor, I would recommend that.",2,2025-12-08,SI110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42067854,101,She tends to be very passive aggressive during discussions. She seems to know what she is teaching but I don't really appreciate her attitude towards her students.,1,2025-12-06,SI110,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41966435,101,The professor is awful. Escape from her if you want a fair grading: she will grade assignments with the standards that she never mentioned in the rubric. It's the first time I've met this bad teaching in this University. Run.,1,2025-11-29,SI110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40879343,101,"She is very rude to students and the assignments have contradicting rubrics. Participation is tracked by raising your hand and saying your name in class, often missing students in the 150+ person lecture room. Writing assignments are essentially the same every time and have unrealistic expectations. This school's faculty has fallen off...",1,2025-04-06,SI410,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40855006,101,"Prof has a lot of unrealistic expectations and is kind of rude. There are 4 major paper assignments where you essentially write about the same thing over and over (with extremely picky grading). There's also a lot of busy work and lectures are unenjoyable. There are better ULWR courses than this one, so save your time and skip this class.",2,2025-04-02,SI410,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0
40829693,101,Inadequate guidelines for AI usage and outward disrespect for students. She has been verbally demeaning to students on many occasions during lecture.,1,2025-03-27,SI410,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
40758189,101,"Unrealistic expectation for AI use considering it is a School of Information course. Picky grading based word for word, would not recommend.",1,2025-03-11,SI410,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40175215,103,Professor Toyama is a magical educator! He maximizes students' acquisition in a natural and engaging way. I have 2 Master's in Education and 8 years' work experiences in teaching and curriculum development. I had my once-of-a-life-time experience from his course in which the skills he taught just within one semester turns out to be my strong suit.,5,2024-12-09,SI501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37536818,103,"Kentaro's respect for the material he handles as well as his students is materially apparent, and I cannot underscore enough that even if his class was at 3:30 a.m. (it was 8 when I took it), it's worth it.",5,2023-03-24,SI501,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0
35250458,103,"Chillest class for my first semester of grad school. I loved this class and Kentaro. That said, I was lucky to have a good group. Class is very very heavy on group projects. Experience may differ base on group dynamics, but you can always ask to be switch.",4,2021-11-16,SI501,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
34561876,103,"Kentaro is an awesome scholar. He cares a lot about education and the practical ways to conduct research and experimentation. If you ever get a chance to work with him, do it!",5,2021-04-16,SI501,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
33554027,103,I took Contextual Inquiry with Professor Toyama and he was an incredible instructor who provided clear instruction and guidance for our semester-long group project! He is one of those professors who encourages his students to learn in the class and outside of class. Definitely have learned many things from him / his office hours! Amazing Instructor,5,2020-08-02,SI501,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
28693226,103,Professor Kentaro Toyama is an exceptional person with the passion and energy more than double of many of his own students. He respects every student and is always down to earth irrespective of his own reputation. He is kind and approachable and puts tremendous effort into planning his courses. He keeps all of his students engaged and productive.,5,2017-09-23,SI501,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
27866253,103,"Kentaro's course is well structured and the expectations are reasonable. I gained a lot of practical experience in the course's subject matter, which was crucial to learning the methodologies we covered in the course. Kentaro was very knowledgeable, engaging, and provided great feedback.",5,2017-02-28,SI501,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0
27852816,103,I liked that course feedback was solicited throughout the semester--that is the most beneficial for students currently enrolled. I also enjoyed that we could offer feedback for our team members throughout the course in a formalized method. Kentaro is an engaging lecturer. Learning to interact with groups. I hate group based work but ultimately the,5,2017-02-23,SI501,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
42045305,107,"Dr. Gray was great in terms of how she presented the content and it may have been her first time teaching this class, but the class itself was not well-structured. Almost all of our discussion meetings got cancelled and I hoped to get more from the class, but this class ended up being one of the least to worry about in terms of workload.",5,2025-12-04,SI310,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
41997334,107,"There is a lot I love about dr. gray. She's funny, energetic, and really gets you thinking about so much going on in the world. That being said, this class was quite unorganized where there many meetings got canceled. Still I enjoyed the content I just wish I could participate in discussion more. Assigments are the same question 5 times.",4,2025-12-02,SI310,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
41964703,115,"Although the course includes many assignments and full completion isn't required, your final grade depends on the total credits accumulated. Since grading can be inconsistent and some graders are stricter than others, it's best to finish as many assignments as you can to aim for an A. That said, many of the assignments tend to feel repetitive.",2,2025-11-28,SI588,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
